date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.001018,3.0,0.595745,0.043833,0.465486,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.617021,0.043833,0.458941,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.638298,0.043833,0.450461,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.659574,0.043833,0.46147,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.680851,0.044013,0.473817,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.702128,0.056683,0.510562,0.003467,0.422915,0.414912,0.0
0.001018,3.0,0.723404,0.053651,0.600863,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.744681,0.044224,0.68313,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.765957,0.044104,0.679113,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.787234,0.044134,0.663642,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.808511,0.044134,0.62645,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.829787,0.043923,0.607557,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.851064,0.044134,0.58911,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.87234,0.043983,0.564267,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.893617,0.043983,0.514877,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.914894,0.043833,0.461619,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.93617,0.044134,0.504314,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.957447,0.044134,0.513389,0.003467,0.422915,0.414912,1.0
0.001018,3.0,0.978723,0.044134,0.519488,0.003467,0.422915,0.414912,1.0
0.001018,3.0,1.0,0.044134,0.511157,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.0,0.044134,0.503422,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.021277,0.077999,0.482892,0.003467,0.422915,0.414912,0.0
0.001062,4.0,0.042553,0.044134,0.459238,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.06383,0.077999,0.392443,0.003467,0.422915,0.414912,0.0
0.001062,4.0,0.085106,0.077999,0.331003,0.003467,0.422915,0.414912,0.0
0.001062,4.0,0.106383,0.077999,0.286819,0.003467,0.422915,0.414912,0.0
0.001062,4.0,0.12766,0.077999,0.240553,0.003467,0.422915,0.414912,0.0
0.001062,4.0,0.148936,0.043833,0.210503,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.170213,0.078089,0.191312,0.003467,0.422915,0.414912,0.0
0.001062,4.0,0.191489,0.078089,0.186998,0.003467,0.422915,0.414912,0.0
0.001062,4.0,0.212766,0.082473,0.219726,0.003467,0.422915,0.414912,0.0
0.001062,4.0,0.234043,0.083313,0.271199,0.003467,0.422915,0.414912,0.0
0.001062,4.0,0.255319,0.087216,0.372657,0.003467,0.422915,0.414912,0.0
0.001062,4.0,0.276596,0.122703,0.48557,0.003467,0.422915,0.414912,0.0
0.001062,4.0,0.297872,0.043983,0.507587,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.319149,0.043983,0.584796,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.340426,0.044043,0.610235,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.361702,0.044043,0.612169,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.382979,0.044134,0.626004,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.404255,0.044134,0.625112,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.425532,0.044134,0.595061,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.446809,0.044043,0.561738,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.468085,0.043983,0.536001,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.489362,0.044134,0.518744,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.510638,0.044043,0.503868,0.003467,0.422915,0.414912,1.0
0.001062,4.0,0.531915,0.043983,0.482446,0.003467,0.422915,0.414912,1.0
