n1,n2,n3,n4,n5,n6,n7,n8,class
26.8,22.2,1006.2,8.1,10.9,19.0,34.0,21.0,0.0
30.6,22.7,1015.1,12.6,9.3,17.1,42.1,19.0,0.0
10.4,5.3,1039.9,4.8,14.7,19.0,12.9,9.0,0.0
23.9,20.8,1016.4,4.3,5.1,10.1,34.0,15.1,0.0
17.8,11.9,1018.3,7.5,10.1,22.9,23.0,10.0,0.0
4.8,-0.6,1030.1,4.4,7.2,10.1,19.0,-5.1,1.0
8.2,3.3,1032.6,8.1,10.0,13.0,17.1,3.0,0.0
-2.6,-11.8,1032.2,14.9,12.1,22.9,12.0,-11.0,0.0
22.3,18.5,1017.2,5.1,10.3,15.9,25.0,10.9,1.0
20.9,15.6,1008.7,10.9,9.7,17.1,36.0,9.0,0.0
30.7,26.0,1012.9,11.6,12.9,17.1,43.0,19.9,0.0
15.3,9.2,1011.0,10.0,7.0,12.0,35.1,1.0,0.0
17.3,9.7,1023.5,8.7,8.5,14.0,25.0,12.0,0.0
34.8,32.8,1019.7,8.2,9.0,10.1,42.1,30.9,1.0
29.4,26.8,1024.0,7.6,12.8,17.1,34.0,26.1,0.0
35.9,32.6,1022.0,7.2,8.5,13.0,42.1,30.9,1.0
35.2,31.5,1020.8,10.0,8.3,22.0,46.0,28.9,0.0
24.4,18.0,1025.1,10.4,7.7,13.0,30.0,18.0,0.0
13.9,5.3,1034.3,9.5,9.6,22.0,24.1,7.0,0.0
32.5,26.2,1025.8,9.6,10.7,20.0,39.9,28.0,0.0
36.3,33.4,1012.3,6.0,12.5,22.0,48.9,32.0,0.0
46.2,38.8,1001.4,11.1,13.3,26.0,63.0,37.0,1.0
39.7,35.5,1005.7,9.2,16.2,22.0,54.0,35.1,1.0
43.1,32.9,1023.0,8.0,3.8,13.0,57.0,30.0,0.0
50.5,33.2,1016.7,9.8,5.3,15.9,64.0,35.1,0.0
55.7,36.3,1012.2,9.9,6.2,14.0,73.9,37.9,0.0
42.1,33.9,1019.5,11.3,9.2,22.0,62.1,30.9,0.0
57.8,37.5,1018.9,12.2,14.2,26.0,72.0,50.0,1.0
56.0,36.1,1019.5,13.2,12.8,17.1,75.9,41.0,0.0
60.5,39.8,1024.1,10.9,7.6,15.9,73.0,46.9,0.0
61.6,42.0,1010.7,12.1,8.7,15.9,82.9,45.0,0.0
62.0,56.8,1021.1,11.5,11.5,15.9,77.0,57.0,1.0
61.2,52.7,1021.6,11.8,4.7,10.1,70.0,52.0,0.0
71.7,64.6,1014.8,9.5,4.6,13.0,82.0,62.1,0.0
70.5,62.7,1008.2,13.8,11.9,22.9,77.0,64.0,0.0
60.3,55.0,1006.3,7.0,5.9,13.0,70.0,54.0,1.0
67.0,54.9,1016.1,12.8,9.4,15.0,77.0,57.0,0.0
72.2,64.9,1010.6,11.2,14.5,18.1,82.0,66.0,1.0
70.5,61.5,1015.3,14.9,3.4,8.9,78.1,62.1,0.0
65.5,54.4,1016.3,10.4,10.3,20.0,82.0,55.9,1.0
