n1,n2,n3,n4,n5,n6,n7,n8,class
26.4,21.5,1006.9,8.0,18.7,30.1,39.9,16.0,1.0
36.3,30.1,1002.8,9.7,6.0,17.1,43.0,30.9,0.0
17.8,11.9,1030.4,9.2,6.6,10.1,24.1,10.0,1.0
18.4,12.5,1022.8,7.8,18.7,26.0,35.1,9.0,0.0
10.2,2.7,1032.0,6.9,13.5,22.0,17.1,6.1,0.0
6.4,0.7,1031.6,5.4,18.0,22.0,18.0,0.0,1.0
9.0,4.8,1021.8,3.5,22.1,31.1,18.0,1.9,0.0
10.4,3.9,1029.1,11.4,8.3,17.1,21.0,0.0,0.0
18.1,14.5,1016.9,4.7,9.0,15.9,28.0,10.9,1.0
17.7,10.5,1018.5,12.5,6.6,17.1,39.0,6.1,0.0
7.9,4.0,1025.1,6.2,14.7,22.0,12.9,3.9,0.0
28.8,20.8,1020.8,12.5,8.3,15.9,44.1,15.1,0.0
23.9,20.0,1027.5,5.0,3.5,8.9,30.0,21.0,1.0
25.2,18.5,1028.6,9.1,7.4,17.1,37.0,17.1,0.0
24.3,20.3,1027.9,11.1,3.5,13.0,37.0,17.1,0.0
41.9,36.1,1010.4,8.3,7.0,13.0,50.0,34.0,0.0
30.0,27.3,1019.0,8.6,17.6,22.0,35.1,25.0,0.0
33.2,28.6,1023.1,6.3,4.0,11.1,37.0,30.0,1.0
27.6,21.3,1022.7,8.4,7.9,13.0,36.0,21.0,0.0
48.2,43.2,1004.4,6.2,14.2,26.0,62.1,37.0,1.0
45.3,34.1,1011.5,11.5,11.5,22.0,59.0,34.0,0.0
42.8,38.9,1016.4,7.7,16.4,26.0,59.0,39.9,1.0
40.9,31.4,1019.2,10.4,7.0,15.9,46.9,35.1,0.0
52.3,34.9,1008.1,14.3,9.9,22.0,68.0,39.9,0.0
47.2,36.3,1021.2,8.7,12.6,18.1,52.0,45.0,1.0
44.4,38.3,1003.3,5.5,20.5,30.1,70.0,33.1,1.0
41.8,27.0,1021.4,14.1,12.0,22.0,54.0,30.0,0.0
56.9,45.5,1014.1,11.7,3.0,14.0,72.0,48.0,0.0
68.4,53.5,1014.5,10.9,12.5,22.0,82.0,55.9,1.0
66.0,46.4,1007.9,11.5,14.1,26.0,77.0,54.0,1.0
79.0,69.3,1011.6,7.1,19.2,26.0,86.0,72.0,0.0
57.6,54.3,1013.9,7.8,9.1,22.0,66.9,53.1,1.0
70.0,61.9,1018.7,11.6,7.3,10.1,84.9,57.0,0.0
68.1,64.0,1011.7,8.3,10.8,22.9,75.9,64.0,1.0
57.5,51.7,1015.6,10.3,2.8,13.0,70.0,53.1,0.0
53.7,45.0,1021.5,11.4,2.4,13.0,64.9,43.0,0.0
72.0,60.3,1013.6,12.1,7.0,8.9,82.0,60.1,0.0
76.7,68.9,1004.1,11.9,17.5,27.0,84.0,69.1,1.0
69.5,61.4,1019.4,13.3,3.7,12.0,79.0,63.0,0.0
68.4,63.7,1018.0,11.1,11.7,15.0,75.9,62.1,0.0
70.0,67.2,1007.2,7.0,6.1,13.0,84.0,66.0,1.0
78.5,69.6,1007.5,14.9,13.1,22.0,90.0,66.0,0.0
76.9,67.3,1013.4,11.2,8.9,26.0,90.0,70.0,1.0
74.6,69.6,1002.3,10.4,6.3,20.0,89.1,64.9,0.0
77.8,70.0,1014.4,12.9,11.1,25.1,88.0,64.9,1.0
86.6,75.9,1015.9,11.9,9.1,13.0,95.0,78.1,0.0
79.6,72.1,1011.2,11.0,5.1,10.1,90.0,73.0,1.0
74.0,61.7,1019.0,14.9,3.4,8.9,81.0,64.9,0.0
73.2,63.2,1016.2,11.9,2.6,8.9,82.9,64.0,0.0
78.0,62.4,1011.8,11.3,6.7,13.0,90.0,64.9,0.0
75.4,67.9,1017.7,12.5,7.4,15.9,87.1,69.1,1.0
77.6,74.0,1009.0,11.8,14.1,22.0,84.9,72.0,1.0
72.6,63.8,1019.4,11.7,5.9,17.1,86.0,62.1,0.0
72.8,63.0,1020.0,12.3,3.0,11.1,84.9,57.9,0.0
81.8,73.3,1014.2,13.6,10.9,18.1,91.0,70.0,0.0
82.4,75.9,1012.4,13.7,7.3,22.0,93.0,72.0,1.0
78.3,72.7,1015.4,3.7,1.7,8.9,91.9,70.0,0.0
66.7,58.6,1020.1,11.0,8.0,15.0,75.0,60.1,1.0
75.8,63.5,1015.3,14.5,10.3,22.0,89.1,64.0,0.0
69.6,59.9,1017.6,10.4,3.1,8.9,82.9,57.0,0.0
60.6,47.3,1022.0,12.3,5.8,13.0,78.1,45.0,0.0
63.7,56.5,1016.9,13.2,7.7,15.0,73.0,54.0,0.0
60.9,52.8,1023.2,9.6,2.6,10.1,75.9,48.9,0.0
50.3,44.7,1023.5,11.7,10.2,22.0,64.9,37.9,0.0
66.1,60.8,1008.7,11.0,7.5,17.1,75.9,60.1,1.0
65.1,55.6,1019.4,12.4,8.6,15.0,82.0,54.0,0.0
64.1,54.2,1016.9,14.8,13.2,25.1,78.1,51.1,0.0
48.6,42.2,1023.0,12.1,4.7,13.0,66.0,33.1,0.0
68.5,60.1,1014.0,10.5,7.7,13.0,84.0,57.9,0.0
71.7,64.1,1002.6,13.3,12.3,22.0,87.1,64.9,1.0
57.1,48.5,1010.1,14.0,6.7,22.0,66.0,50.0,1.0
